"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.4143755825367","","","","3.21385754219842","3.29231347724202","4.05265539838866","10.2400979357904","4.91572895383906","5.44921110825258","",
"Andorra","AND","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.16474759828771","13.5607245482879","19.801225602101","12.8138865020649","9.70343223954206","10.9219683281084","21.7966184565402","16.9856774992247","20.476748005875","26.6974231535714","26.4016186858457","16.33052379442","","","","","","","","","",
"Afghanistan","AFG","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.179503227852738","0.339874041348881","0.761716062589341","1.74455386513131","0.697374879419064","0.724100711307847","0.699557264166718","0.959974650011442","0.991776724901072","4.22269969691477","6.1674149347664","1.31430513179235","3.46961564193234","0.764653339194069","0.893509248780069","0.530148790877421","0.443274093451163","0.513330673282242","0.120347981733419","",
"Arab World","ARB","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2738374324307","1.42871303151562","3.22872294573195","0.904028818751877","1.13337449403354","","1.80113891022338","2.87576057767998","1.76051663534071","1.51501574761094","1.51261987476741","2.00561784228076","1.18156410045895","1.45741407461352","1.35395863027836","1.05685047564525","1.47088638299959","","","","","","","",
"United Arab Emirates","ARE","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0264786378371928","0.151992165621186","0.0316455206675601","","","","","","1.12098329514486","0.708440058371848","1.96507194450091","","","","1.87148890208996","","1.0703835678953","3.20278543864225","","","","","","","",
"Argentina","ARG","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.95319101738916","6.47917455111123","4.75737050523623","4.02028497993517","5.59195717999793","5.07483159624345","5.90945120886604","8.10406311778607","9.35185630557545","9.26734447550764","7.66904536724454","8.89749476292353","7.71902367797146","6.82663003884753","7.05418221980282","6.59445029079414","9.01736918631716","8.68693306584071","7.50483414393967","7.48073935864493","7.69544073664613","9.84358697736032","6.67573546182271","",
"Armenia","ARM","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5016075905402","","2.28304231745568","4.72662731922515","10.398726594463","1.62244817132918","1.40902707955636","1.24611704633639","0.619179418428506","1.08039524420016","0.875873520221703","1.40588202628169","2.18189877411748","1.84865937230269","2.59836231615234","2.64941166758661","2.88315023156039","2.70033218674106","",
"American Samoa","ASM","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.792111500420359","0.0923911575597931","","","","","0.780367566211611","","0.0565125312327638","","0","0","0","0","0","0","",
"Australia","AUS","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.07411970284427","7.30144857235716","8.06952862373484","9.7779409316844","10.4348473366627","11.4808046941373","14.0804552765808","12.8551211595748","12.070113739708","11.7296786982407","11.4615024096882","11.0908318172997","15.3599446467269","15.488563558574","16.5196708670058","13.6985186455317","13.5333031678777","12.7676281913207","12.3183322072689","10.2572137069255","10.7883672863433","11.9257581380856","11.8668243456617","13.0670969606645","12.7295858228898","12.9099946244496","13.5987282005105","",
"Austria","AUT","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.00691180738935","7.10648589297125","7.87295921736671","8.60114522045768","8.41816757628362","8.77909237060096","10.0952262927417","8.84595044889681","8.87368479461438","10.8995366185691","10.9563401849171","12.2696648321192","14.5978166979755","14.6098513630283","16.3508087561828","15.5315528530517","16.1649776912336","13.7429326784987","13.3361601399969","11.3098105841216","10.9961556803672","11.6361692774664","11.9055753937815","11.6691799265378","12.8366827511684","13.715550620801","13.8805613897353","",
