Sierra Leone,Afica,490181456.6,701307602.3,1055083945,932974411.9,649644826.8,779981458.9,679997997.6,768812334.8,911915970.7,870758739.4,941742152.7,850218033.6,672375927.3,669384768.9,635874002.2,1079478388,1239004288,1371442566,1431208677,1627854495,1885112202,2158496873,2505458705,2453899847,2578026297,2900558287,674.728,498.712,458.375,374.034,388.702,469.376,293.36,289.693,348.365,352.032,385.035,392.369,366.7,352.032,425.372,568.385,608.722,652.726,641.725,546.383,733.4,641.725,663.727,652.726,726.066,898.415,43.19756,42.92602,42.65447,42.38293,42.11139,41.83984,41.5683,41.29676,41.02521,40.75367,40.48213,40.21058,39.93904,39.6675,39.39595,39.12441,38.85287,38.58132,38.30978,38.03824,37.76669,38.64782,39.52896,40.41009,42.17235,42.17235,25.34353658,16.28882224,16.3328383,18.16863258,36.4446585,39.89388625,19.8214433,21.53758834,22.77450726,17.39462068,18.16863258,21.53758834,31.07932224,27.75385182,28.54064777,16.93751429,5.354229599,5.264358434,5.703950457,0.786125919,0.485227242,0.298991271,0.103682509,0.07649335,0.02729256,0.02190823,3931208,3945899,3929182,3893891,3858559,3837807,3833053,3843472,3878475,3948800,4060709,4220198,4422154,4647701,4870467,5071271,5243214,5391108,5521838,5647194,5775902,5908908,6043157,6178859,6315627,6815627
Congo,Afica,1849268215,2297753649,2212536313,2389593022,2798746051,2724853508,2933222706,1918970178,1769365439,2116003868,2540697538,2322719101,1949481381,2353909442,3219910666,2794259756,3019993723,3495868725,4648628840,6087002682,7731261311,8394688284,11859014004,9593536531,12007880590,14425607224,3377.307,3854.017,4019.032,4393.066,4070.37,3755.008,3619.329,3410.31,2478.892,2966.603,3248.962,2926.266,2533.897,2247.871,1646.483,1664.818,1782.162,1862.836,2137.861,2486.226,2640.24,2830.924,2992.272,2911.598,3252.629,3424.978,66.54758419,66.49780381,66.44802343,66.39824305,66.34846266,66.29868228,66.2489019,66.19912152,66.14934114,66.09956076,66.04978038,66,65.95021962,65.90043924,65.85065886,65.80087848,65.76573939,65.73060029,65.6954612,65.66032211,65.62518302,65.58008785,65.53499268,65.48989751,65.39970717,65.39970717,6.460878493,5.202652818,4.917602132,5.050453901,16.04296974,12.76702264,13.76754279,14.64727685,15.17789508,4.462945119,7.647873459,2.865012369,3.261764964,2.399809007,3.812376911,2.207316996,2.735688879,2.221095533,4.329715111,3.682613553,3.736884669,2.560300763,2.823095422,1.567650582,1.98498516,2.402319738,2386467,2450125,2514907,2581306,2649964,2721277,2795903,2873638,2953011,3031969,3109269,3183883,3256867,3331564,3412592,3503086,3604595,3715665,3832771,3950786,4066078,4177435,4286188,4394334,4504962,4704962
Nigeria,Afica,20721499308,24093203445,23272161397,24231168859,30757075595,27392886873,29300921681,15789003753,18086400536,28546958641,34987951375,35822342618,32004613750,35870792988,46385996029,44138014092,59116868251,67655840108,87845403978,112000000000,145000000000,166000000000,208000000000,169000000000,369000000000,412000000000,73505.015,59343.061,70747.431,42441.858,45375.458,45247.113,64883.898,60061.793,46658.908,34917.174,40421.341,40190.32,40182.986,44788.738,79181.531,83350.91,98125.253,93138.133,97047.155,104696.517,98513.955,95250.325,92683.425,71788.859,85221.08,88026.335,18.92245023,18.47261109,18.02277194,17.57293279,17.12309365,16.6732545,16.22341535,15.7735762,15.32373706,14.87389791,14.42405876,13.97432941,13.52460006,13.07487071,12.62514136,12.17541201,11.72568266,11.27595331,10.82622396,10.37649461,9.926765265,9.477035915,9.027306565,8.577577215,7.678118515,7.678118515,6.677748552,5.583395778,4.655846484,6.111896761,5.191695119,4.387578491,1.675898739,0.111631906,0.018100013,13.39214815,0.590686908,0.366995351,0.142339957,1.730811082,4.759126454,2.877315576,7.787441826,0.995504698,0.40851689,2.527707198,1.089279096,1.197366687,1.877730528,2.736696278,2.10433253,1.471968782,95617345,98085436,101000000,103000000,106000000,108000000,111000000,114000000,117000000,120000000,123000000,126000000,129000000,133000000,136000000,140000000,143000000,147000000,151000000,155000000,159000000,164000000,168000000,173000000,177000000,180000000
South Africa,Afica,79501624628,104000000000,115000000000,125000000000,112000000000,120000000000,131000000000,134000000000,140000000000,155000000000,148000000000,153000000000,138000000000,137000000000,136000000000,122000000000,115000000000,175000000000,229000000000,258000000000,272000000000,299000000000,287000000000,296000000000,375000000000,417000000000,330855.075,329025.242,343055.184,341108.007,319795.403,332618.902,307822.648,321104.522,337576.686,353458.463,358639.934,371327.754,372218.835,371034.394,368610.507,362743.307,347686.605,380810.616,424774.279,391818.95,422445.734,440989.753,469089.974,477806.433,454950.022,477241.715,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.289916712,7.330165605,6.96800466,4.727845505,4.876683179,5.710909897,5.650817654,7.531410066,8.749016042,7.146985101,7.000875876,6.460410909,5.163790009,4.832737639,5.537991577,6.656221763,6.458640303,5.580762849,5.123385369,5.354949319,4.625784115,5.007137768,5.38000172,5.468510551,5.854429201,6.240347851,35200000,35933108,36690739,37473796,38283223,39120000,40000247,40926063,41899683,42923485,44000000,44909738,45546345,46127031,46727694,47349013,47991699,48656506,49344228,50055701,50791808,51553479,52341695,53157490,54001953,55001953
Mexico,South America,129000000000,140000000000,183000000000,223000000000,263000000000,314000000000,364000000000,504000000000,527000000000,344000000000,397000000000,481000000000,502000000000,579000000000,684000000000,725000000000,742000000000,713000000000,770000000000,866000000000,965000000000,1040000000000,1100000000000,893000000000,1050000000000,1170000000000,294559.109,307356.939,307067.246,361877.895,314291.236,326374.001,328698.879,330448.038,348133.979,328291.842,341482.041,359046.971,374063.336,382607.446,382508.437,395636.297,391859.287,405918.565,411767.43,435437.915,445291.144,458866.378,474491.465,450575.291,445063.79,466548.743,35.8857,35.78775,35.68981,35.59186,35.49392,35.39597,35.29803,35.20008,35.10214,35.00419,34.90625,34.82672,34.74719,34.66766,34.58813,34.5086,34.44842,34.38823,34.32804,34.26786,34.20767,34.16055,34.11343,34.06631,33.97207,33.97207,8.429322,8.680141,11.24383,11.59887,13.93698,15.17258,15.80527,17.55396,19.25282,20.74644,22.45135,22.056,21.42671,21.3991,21.2854,19.63566,18.98141,17.17706,15.72923,18.17619,16.93781,16.50982,16.33507,15.92476,15.9922,16.0012,85609404,87347208,89110043,90887097,92663664,94426946,96181710,97925825,99632299,101000000,103000000,104000000,106000000,107000000,108000000,110000000,111000000,113000000,115000000,117000000,119000000,120000000,122000000,124000000,125000000,126000000
Bahamas,South America,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,4961119000,5353524000,6019972000,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7909580000,7889750000,1411.795,1422.796,1540.14,1947.177,1950.844,1782.162,1793.163,1701.488,1686.82,1683.153,1668.485,1364.124,1679.486,1675.819,1668.485,1569.476,1576.81,1518.138,1723.49,1598.812,1521.805,1547.474,1045.095,1642.816,2464.224,1906.84,57.9664,57.71679,57.46718,57.21758,56.96797,56.71836,56.46875,56.21915,55.96954,55.71993,55.47032,55.21979,54.96926,54.71873,54.4682,54.21767,53.7515,53.28533,52.81916,52.353,51.88683,51.62005,51.35327,51.08649,50.55294,50.55294,0.11123,0.12123,0.11123,0.12123,0.11123,0.12123,0.11123,0.12123,0.225207,1.28497,0.104314,0.138567,1.710395,0.12094,0.058654,0.099451,0.165677,0.844632,0.395744,1.051062,0.731122,0.427288,3.104583,1.229335,4.123387,6.123387,256338,261117,266133,271165,275903,280151,283792,286968,290054,293572,297891,303138,309170,315757,322539,329243,335801,342259,348587,354780,360830,366711,372388,377841,383054,393054
Chile,South America,17722536671,20902096532,24640912616,28385038397,31558927517,36424168146,44467946384,47693992627,55154226760,71349202309,75769008174,82808986192,79373597080,72995286764,79328640264,72336972322,70984568429,77840186385,101000000000,124000000000,155000000000,173000000000,180000000000,172000000000,218000000000,251000000000,22247.689,22673.061,26926.781,32386.944,33314.695,31323.514,32474.952,34627.481,38103.797,41745.128,48499.742,56394.793,57641.573,61513.925,58815.013,53549.201,55335.03,55602.721,60054.459,61818.286,64814.225,71638.512,71851.198,66805.406,72258.235,79408.885,20.5277,20.60449,20.68129,20.75808,20.83488,20.91168,20.98847,21.06527,21.14206,21.21886,21.29565,21.3516,21.40755,21.4635,21.51945,21.5754,21.62624,21.67708,21.72791,21.77875,21.82959,22.23415,22.6387,23.04326,23.85237,23.85237,4.682247,1.991528,2.366165,2.379427,2.14747,3.33969,3.66049,3.327845,3.67255,3.23902,3.40605,3.178117,3.777844,4.140213,5.372277,6.609133,6.389555,6.785043,5.884394,5.372514,5.493882,4.604655,4.642984,4.912491,6.174829,8.12343,13141202,13354054,13566942,13778676,13987999,14193986,14396020,14594070,14788609,14980484,15170387,15358418,15544554,15729268,15913119,16096571,16279728,16462701,16645940,16829957,17015048,17201305,17388437,17575833,17762647,17762999
Colombia,South America,34942483688,36373312083,39212545681,39540083646,40274204595,41239551378,49279585355,55802540101,81703496604,92507277798,97160111573,107000000000,98443743191,86186156584,99886577576,98203544965,97933392356,94684582573,117000000000,147000000000,163000000000,207000000000,244000000000,234000000000,287000000000,335000000000,49101.13,50487.256,52445.434,53233.839,57337.212,57120.859,62049.307,64022.153,67571.809,59614.419,60527.502,64909.567,65976.664,56512.137,57923.932,56273.782,55661.393,57421.553,55071.006,60945.54,62940.388,62430.675,65158.923,67432.463,78583.81,72423.25,0.159601,0.173267,0.185935,0.198603,0.211272,0.22394,0.236608,0.249277,0.261945,0.274613,0.289277,0.302643,0.318005,0.333367,0.348728,0.369077,0.376459,0.388828,0.401197,0.413566,0.428928,0.438903,0.45187,0.464838,0.488778,0.488778,4.98673,5.223921,6.861887,5.862064,5.710056,6.671061,7.743427,8.021073,8.776844,8.180491,7.740421,7.21109,7.173015,6.615023,5.694388,4.991175,4.075888,2.909197,3.723763,5.220022,5.05632,4.327385,5.189987,7.393977,7.71173,8.00121,34271563,34916770,35558683,36195170,36823539,37441980,38049040,38645409,39234059,39819279,40403959,40988909,41572493,42152147,42724157,43285636,43835744,44374647,44901660,45416276,45918101,46406446,46881018,47342363,47791393,47792100
Brazil,South America,268000000000,294000000000,330000000000,426000000000,462000000000,603000000000,401000000000,438000000000,558000000000,786000000000,854000000000,886000000000,867000000000,602000000000,657000000000,560000000000,509000000000,559000000000,670000000000,892000000000,1110000000000,1400000000000,1690000000000,1660000000000,2210000000000,2620000000000,198883.412,207530.198,209363.698,214024.455,208886.988,219330.604,220705.729,230738.641,242154.012,258347.484,284782.887,300547.32,312289.054,320173.104,327983.814,337433.673,332266.87,321621.569,337826.042,347308.904,347668.27,363212.683,387675.24,367147.374,419754.156,439412.943,65.40989,65.10562,64.80136,64.49709,64.19282,63.88856,63.58429,63.28002,62.97576,62.67149,62.36723,62.0193,61.67138,61.32345,60.97553,60.6276,60.42957,60.23153,60.0335,59.83547,59.63743,59.5197,59.40197,59.28424,59.04878,59.04878,6.460878,5.202653,4.917602,3.953921,4.5959,4.888256,6.213314,7.536264,9.410684,13.17285,18.72726,19.24616,16.5203,11.956,11.59272,12.84315,12.07642,11.86594,11.64694,13.19728,11.20763,9.720194,10.4927,9.63455,10.61499,12.09789,150000000,153000000,155000000,158000000,160000000,163000000,165000000,168000000,171000000,173000000,176000000,178000000,181000000,184000000,186000000,188000000,191000000,193000000,195000000,197000000,199000000,201000000,202000000,204000000,206000000,226000000
United Kingdom,Europe,601000000000,745000000000,910000000000,927000000000,1090000000000,1140000000000,1180000000000,1060000000000,1140000000000,1240000000000,1310000000000,1450000000000,1540000000000,1570000000000,1550000000000,1540000000000,1680000000000,1940000000000,2300000000000,2420000000000,2590000000000,2970000000000,2790000000000,2310000000000,2400000000000,2590000000000,568777.369,571868.65,570464.189,581721.879,555902.532,566804.523,556192.225,545561.592,546606.687,537970.902,551124.431,527021.24,531861.68,530871.59,541799.25,545865.953,527087.246,538517.285,539137.008,542492.313,541373.878,528323.025,521513.406,473237.351,492192.074,448235.745,11.48266,11.55541,11.62816,11.70091,11.77365,11.8464,11.91915,11.9919,12.06465,12.1374,12.21014,12.26553,12.32092,12.37631,12.4317,12.48708,12.5185,12.54991,12.58133,12.61274,12.64415,12.71442,12.78469,12.85496,12.99549,12.99549,23.60937,24.65327,23.59249,25.96585,25.70357,27.03305,26.68947,27.09245,28.68156,29.91837,32.35324,34.0192,31.62139,26.22089,24.46527,27.96387,33.85431,17.45467,18.46345,20.01491,21.01352,21.39266,21.73938,21.86454,20.64717,22.76432,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64128226,64559135,64559199
France,Europe,775000000000,938000000000,1020000000000,1030000000000,1280000000000,1280000000000,1410000000000,1330000000000,1400000000000,1610000000000,1610000000000,1460000000000,1510000000000,1500000000000,1370000000000,1380000000000,1500000000000,1850000000000,2120000000000,2200000000000,2330000000000,2660000000000,2920000000000,2690000000000,2650000000000,2860000000000,385614.386,377491.981,372207.834,390649.177,375632.812,390627.175,365819.92,359861.045,338093.733,349116.735,375280.78,351507.619,381877.713,373461.948,364063.427,381155.314,378929.445,386333.118,388401.306,390550.168,381467.009,374914.08,371734.791,356626.751,357437.158,338805.131,26.36395,26.51973,26.67551,26.83129,26.98707,27.14285,27.29863,27.45441,27.61019,27.76597,27.92175,28.13067,28.3396,28.54852,28.75745,28.9669,29.17254,29.37818,29.58377,29.78941,29.99505,30.20142,30.40757,30.61416,31.02691,31.02691,16.68453809,18.68736078,18.44271678,19.14367234,18.68420037,19.18482755,18.89401815,21.19150192,22.26935681,22.82382313,24.60331145,23.48793024,21.47693911,19.72053672,19.75554711,20.26557961,21.462423,18.47804602,19.97045065,22.64070501,24.91527927,23.74894735,25.41260261,25.89666503,26.09278566,26.28890629,58512808,58559312,58851216,59106766,59327194,59541900,59753098,59964845,60186291,60496715,60912498,61357431,61805267,62244884,62704897,63179356,63621376,64016229,64374990,64707044,65027512,65342776,65639975,65925498,66217509,66509520
