"Data Source","World Development Indicators",

"Last Updated Date","2016-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.32522359604016","4.09642457181","3.85536769182839","-0.965374832527218","2.48493638431459","-2.397800778012","-4.3087653989944","-1.75669628122601","5.28075326599189","-0.592892312554611","-0.913111282539887","1.5440340474143","-4.02394795366511","-6.99524019925946","-5.7223436973706","","","","","","",
"Andorra","AND","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","-0.59528295319889","2.79293099527773","2.67604448682826","1.02744261955768","-3.36082242684969","-0.190484236828084","-0.262054684105124","-1.47451079082109","-3.04138462383173","-1.31698124776214","-3.96451439586404","-2.92123113327885","-2.58840072808296","-2.60570664454502","-2.02178180832901","-1.00422687282091","1.31504410904304","0.982744018780963","0.793760871202991","-0.144368906815572","-1.36773404142598","-2.89178404514317","-4.43681438477694","-0.398965641596618","0.911676243199295","3.93841475531855","9.31251386379519","3.61313648220445","3.65614775923306","-0.749276535763457","2.35593012027957","1.51940003710629","6.42594442346767","3.1665973853288","4.00796487579618","1.88829336025078","-1.6964775671686","-9.38216293055524","-3.65819654436523","-4.16509318500466","-2.38244326178668","1.9681450118851","4.43153406735115","","",
"Afghanistan","AFG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.52824472159421","-3.21237869377818","7.07408779676268","2.26949026879875","10.6901618053666","1.06803577565032","18.0023930342451","5.50583822732263","2.99405151979005","10.9022578837831","-1.21669484310273","-1.71461102308866","",
"Angola","AGO","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0561184714828897","5.15142073167496","3.00436940929596","-2.16161680929058","-3.04946928767444","-4.16518683383632","-9.86058566876989","-27.1459861941568","0.212994007187845","7.06342730951465","8.03461164178576","4.95226609886635","3.90015219866851","0.310782328491484","-0.111777375417077","0.844751194579402","9.95767816562822","","","","","","","","","","","","","",
"Albania","ALB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","3.64864852156907","0.795840072209046","-1.01680216831883","-3.30749720220652","-0.290595349627623","3.61465556081775","-2.74949637339374","-3.26252235655045","6.923617305269","-11.187905316132","-29.1632714741499","-6.63551868515513","10.270786093314","8.96687740665563","14.0020242137427","9.78018044635252","-10.2784613621705","9.69704598710884","14.2223169170652","7.34863864587226","8.95808771235576","4.54440572919097","6.16998247903757","6.15227447172325","6.26327559322289","6.09829160417968","6.70333782601249","8.35829776196223","4.04882151063757","4.22616091336099","2.84093926218168","1.57004132751403","1.21898399787956","2.27204733846369","",
"Arab World","ARB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","9.1385537170233","4.83405886773718","-1.64065335168887","6.70701172797175","6.10717772765734","0.97490536587901","-6.56024026008406","-5.74090429658649","-1.56468834097271","-3.58574291298733","-2.45880940671952","-2.66992885277891","1.50780239602814","-0.806748855354755","5.86381973943307","-1.37947740011595","2.98699926389891","0.933817476812379","0.901706940924043","-0.383471076498182","2.42683488095099","1.97929096473557","2.50821723107029","0.0883708844558981","2.77872262346419","0.217479092794832","-0.344308963406519","2.98174128560791","6.76540030999473","3.85158242534926","4.75423254482821","3.24336774548667","3.81241685056024","-0.881844896316068","2.34228825810419","1.14007898791249","4.25397799248834","0.599010582997892","0.0524150012621618","",
"United Arab Emirates","ARE","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","-0.479799225711957","4.505168806724","-14.024205101691","7.8950880370476","12.9727508683206","-2.64795465132381","-11.9828346004014","-9.41742531593832","-1.02474427709109","-8.60274387462945","-19.7207372405091","-2.63741708969107","-8.3458478668838","5.89379821355416","11.8388367663076","-4.50305389466986","-2.07174636695817","-3.91873810053805","1.62278969064292","1.60764278782449","0.759388527874776","2.8753861731978","-4.79089698068277","-2.464407795406","4.8218432905399","-3.88652463116711","-2.8841459754286","1.84670066160442","-0.0826805084735298","-6.98337644829741","-4.8029480028766","-11.2173185786934","-10.1187692702685","-15.1458272499335","-5.97892481474418","0.32642324064031","4.29281888324775","3.31234867833155","4.03903335987144","",
"Argentina","ARG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","3.74726308342966","-2.41044441998041","-6.77164719459948","8.46443710520781","8.93464891789226","-2.08931237609535","1.73649463837509","3.33960042711323","8.07787264285649","1.46783217860325","3.95235082993277","-0.0795741993924679","1.0565720009288","3.75964587045112","-1.64866135450959","-3.53616235963526","5.33715547572908","-5.90355599865038","8.60318395587083","2.59033575213738","-7.13500091180069","-6.43432888093822","2.2502418347474","0.619313153866855","-9.00949802710191","6.23805745408801","1.36853140946845","-3.99436875267553","-8.83813246865164","-3.78912457897957","11.0941496819342","10.4066757004564","4.49187509089933","4.46661899492682","-4.05761442265413","4.26087959306626","6.86115827629517","2.68216452137899","-4.4570417273128","-1.88505063627142","-5.46517696212497","-11.877289115085","7.64373181199707","7.849148078244","8.03604526898567","7.27041465739325","6.85497837519071","2.02342273218915","-0.972042657148293","8.32518719834252","7.26047455520296","-0.250930743352384","1.81369557734688","-0.578794257515213","",
"Armenia","ARM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.8757355304675","-40.7469353510688","-6.63956693553229","7.95431519690442","9.11449725465521","7.52499313070196","4.49906405608917","8.15117312858061","3.93900142865458","6.51011053614003","10.1316996895235","13.661257854197","14.4475068315628","10.8488961245233","14.2836080260714","13.6789749666549","14.2838175015562","7.37028355186693","-13.8917822796505","2.29007820407587","4.54167919904747","6.82729024793407","2.82175030880371","3.01929708191918","",
"American Samoa","ASM","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
